state,state_abbr,threshold_type,threshold_value,threshold_unit,adjustment_method,notes,statute_citation,source
Hawaii,HI,overnights,143,overnights_per_year,cross_credit,"Extensive time-sharing worksheet required when either parent has 143+ overnights (39%+) or parents share equal time; obligation multiplied by 1.5 and cross-credited","HRS 576D-7; Hawaii Child Support Guidelines Section VII",https://www.courts.state.hi.us/wp-content/uploads/2020/10/Child_Support_Guidelines_2024.pdf
Idaho,ID,overnights,91,overnights_per_year,cross_credit,"Shared custody applies when each parent has 25%+ overnights (91/yr); separate shared custody worksheet used; obligation divided proportionally by income and time","I.C. 32-706; Idaho R. Civ. P. 6(c)(6)",https://legislature.idaho.gov/statutesrules/idstat/title32/t32ch7/sect32-706/
Illinois,IL,overnights,146,overnights_per_year,cross_credit,"Shared parenting when each parent has 146+ overnights (40%); basic obligation multiplied by 1.5; each parent's share calculated by income proportion and time percentage","750 ILCS 5/505(a)(3.3)",https://www.ilga.gov/documents/legislation/ilcs/documents/075000050k505.htm
Indiana,IN,overnights,52,overnights_per_year,sliding_scale,"Parenting Time Table (PT) provides graduated credit starting at 52 overnights; credit increases nonlinearly as overnights increase toward 182.5; proportionally larger increases at higher levels","Ind. Child Support Guideline 6; Ind. R. Trial P. 33",https://rules.incourts.gov/Content/child-support/guideline6/current.htm
Iowa,IA,overnights,127,overnights_per_year,formula_reduction,"Extraordinary visitation credit when noncustodial parent has 127+ court-ordered overnights per year; credit applied to noncustodial parent's share of basic obligation","Iowa Ct. R. 9.9",https://www.legis.iowa.gov/docs/ACO/CourtRulesChapter/9.pdf
Kansas,KS,percentage,35,percent_of_time,sliding_scale,"Graduated reduction: 35-39% time = 5% reduction; 40-44% = 10%; 45-49% = 15%; extended parenting time adjustment for 14+ consecutive days up to 50% monthly reduction","K.S.A. 38-2277; Kansas Child Support Guidelines Section IV.D",https://kscourts.gov/KSCourts/media/KsCourts/Trial%20court%20programs/CSG-clean-2024-formatted.pdf
Kentucky,KY,days,73,days_per_year,sliding_scale,"Shared parenting time credit requires minimum 73 days/yr (day = 12+ consecutive hours); graduated scale: 73-87 days to 182.5 days with increasing percentages from ~10% to 50%","KRS 403.2122",https://apps.legislature.ky.gov/law/Statutes/statute.aspx?id=55603
Louisiana,LA,overnights,73,overnights_per_year,cross_credit,"Joint custody credit available when paying parent has 73+ days; shared custody (approximately equal time) uses 1.5x multiplier with cross-credit; day = minimum 4 hours","La. R.S. 9:315.9",https://law.justia.com/codes/louisiana/revised-statutes/title-9/rs-9-315-9/
Maine,ME,percentage,50,percent_of_time,cross_credit,"Substantially equal care required for shared custody adjustment; enhanced support entitlement calculated when parents share equal care but have unequal incomes; no fixed overnight number","19-A M.R.S.A. 2006(5)",https://legislature.maine.gov/statutes/19-a/title19-Asec2006.html
Maryland,MD,overnights,92,overnights_per_year,sliding_scale,"Graduated adjustment: 92-109 overnights (25-30%) uses shared custody adjustment; 110-127 overnights uses worksheet B; 128+ uses full shared physical custody formula","Md. Code Fam. Law 12-204(a)",https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=gfl&section=12-204
Massachusetts,MA,percentage,33,percent_of_time,cross_credit,"Shared custody adjustment when each parent has 33%+ parenting time; at 50/50 guidelines run twice with each parent as recipient and difference paid; 33-50% range uses interpolation","Mass. Child Support Guidelines Section II.D",https://www.mass.gov/info-details/massachusetts-law-about-child-custody-and-parenting-time
Michigan,MI,overnights,128,overnights_per_year,offset_calculation,"Parental time offset adjusts base obligation using overnight count; applied whenever overnights can be determined; 128+ overnights triggers different calculation tier; 21-night change = modification threshold","MCL 552.605; Michigan Child Support Formula Manual 3.03",https://www.courts.michigan.gov/4a7a53/siteassets/court-administration/standardsguidelines/foc/2025mcsf.pdf
Minnesota,MN,percentage,10,percent_of_time,formula_reduction,"Parenting expense adjustment uses nonlinear formula based on percentage of parenting time; 2025 changes lowered generous-credit threshold from 45.1% to ~40%; applies from 10%+ parenting time","Minn. Stat. 518A.36",https://www.revisor.mn.gov/statutes/cite/518A.36
Mississippi,MS,none,,na,judicial_discretion,"No statutory formula for parenting time adjustment; percentage-of-income model considers only obligor income; courts may deviate based on shared custody but no fixed threshold or formula","Miss. Code Ann. 43-19-101(1)",https://www.mdhs.ms.gov/wp-content/uploads/2020/05/Child-Support-Guidelines-Revised.pdf
Missouri,MO,overnights,36,overnights_per_year,sliding_scale,"Form 14 overnight adjustment table: 36+ overnights triggers credit starting at 6%; scales through 18 tiers to 34% at 181-183 overnights; below 36 overnights no adjustment","Mo. Sup. Ct. R. 88.01; Form 14 Line 11",https://www.courts.mo.gov/page.jsp?id=181076
Montana,MT,overnights,110,overnights_per_year,formula_reduction,"Parenting time adjustment when noncustodial parent has 110+ overnights (30%); adjustment multiplier = (1 - 2 x NCP time percentage); day = majority of 24-hour calendar period","ARM 37.62.124",https://dphhs.mt.gov/assets/cssd/GuidelinesARM.pdf
Nebraska,NE,overnights,109,overnights_per_year,cross_credit,"109-142 overnights: worksheet 3 use is discretionary; 142+ overnights: rebuttable presumption worksheet 3 applies; joint custody calculation offsets each parent's obligation","Neb. Ct. R. 4-212; Neb. Rev. Stat. 42-364",https://nebraskajudicial.gov/supreme-court-rules/chapter-4-children-and-families/article-2-child-support-guidelines/%C2%A7-4-212-joint-physical-custody
Nevada,NV,percentage,40,percent_of_time,offset_calculation,"Joint physical custody when each parent has 40%+ time; each parent's obligation calculated separately under guidelines; higher-income parent pays difference to lower-income parent","NRS 125B.070; NRS 125B.080",https://www.leg.state.nv.us/NRS/NRS-125B.html
New Hampshire,NH,none,,na,judicial_discretion,"No formulaic parenting time adjustment; equal or approximately equal schedule shall not by itself constitute ground for adjustment; court considers specific circumstances case-by-case","N.H. RSA 458-C:5",https://www.nhbar.org/child-support-in-equal-time-parenting-schedules/
New Jersey,NJ,overnights,104,overnights_per_year,cross_credit,"Shared parenting at 104+ overnights (28%); parent of alternate residence worksheet (Appendix IX-D) applies; overnight = 12+ hours custodial time; different calculation method than sole custody","N.J. Ct. R. Appendix IX-A; N.J.S.A. 2A:34-23",https://www.njcourts.gov/sites/default/files/attorneys/rules-of-court/app9a.pdf
New Mexico,NM,percentage,35,percent_of_time,cross_credit,"Shared responsibility when each parent has 35%+ of year (~128 days); Worksheet B used; each parent retains proportion of basic obligation equal to days with child divided by 365","NMSA 40-4-11.1(C)",https://law.justia.com/codes/new-mexico/chapter-40/article-4/section-40-4-11-1/
New York,NY,none,,na,judicial_discretion,"No parenting time formula; CSSA applies regardless of custody arrangement; custodial parent = parent with majority of overnights; court may deviate under paragraph (f) factors but no automatic adjustment","N.Y. DRL 240(1-b)",https://codes.findlaw.com/ny/domestic-relations-law/dom-sect-240/
North Carolina,NC,overnights,123,overnights_per_year,cross_credit,"Shared custody when each parent has 123+ overnights (33.7%); combined obligation increased by 50% (1.5x); allocated by income share and cross-multiplied by time percentages","N.C.G.S. 50-13.4(c1); NC Child Support Guidelines",https://www.ncdhhs.gov/css2255a1/download?attachment=
North Dakota,ND,overnights,100,overnights_per_year,formula_reduction,"Extended parenting time when paying parent has 100+ overnights per year; adjustment reduces obligation proportionally; percentage-of-income model with parenting time modifier","NDCC 14-09-09.7; N.D. Admin. Code 75-02-04.1-08.2",https://ndlegis.gov/api/acdata/pdf/75-02-04.1.pdf
Ohio,OH,overnights,90,overnights_per_year,formula_reduction,"Automatic 10% reduction at 90+ overnights; court shall consider additional deviation above 90; at 147+ overnights court must grant deviation or explain why not in writing","ORC 3119.051; ORC 3119.231",https://codes.ohio.gov/ohio-revised-code/section-3119.051
Oklahoma,OK,overnights,121,overnights_per_year,formula_reduction,"Presumptive adjustment at 121+ overnights; factor varies: 121-131 nights = factor 2; 132-143 = factor 1.75; 144+ = factor 1.5; adjustment is presumptive but rebuttable","43 O.S. 118E",https://law.justia.com/codes/oklahoma/title-43/section-43-118e/
Oregon,OR,overnights,73,overnights_per_year,formula_reduction,"Parenting time credit at 73+ overnights (20%); uses logistic formula for credit percentage based on overnight share; one of most detailed formulas in nation; 2-year average of overnights used","OAR 137-050-0730",https://oregon.public.law/rules/oar_137-050-0730
Pennsylvania,PA,percentage,40,percent_of_time,formula_reduction,"Schedule assumes 30% obligor time; additional 10% reduction in support at 40% parenting time; incremental increases to 20% reduction at 50%; adjustment built into revised schedule base","231 Pa. Code Rule 1910.16-4(c)(2)",https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/231/chapter1910/s1910.16-4.html
Rhode Island,RI,overnights,128,overnights_per_year,cross_credit,"Shared physical placement at 128+ overnights (35%); income shares cross-calculation adjusts obligation based on time each parent directly supports child; below 128 = sole custody calculation","R.I. Family Court Admin. Order 2014-7; R.I.G.L. 15-5-16.2",https://childsupport.app/rhode-island
South Carolina,SC,overnights,109,overnights_per_year,sliding_scale,"Shared custody at 109+ overnights (30%); 109-128 overnights uses graduated formula between Worksheet A and C amounts; 128+ overnights uses full shared custody Worksheet C","S.C. Code Regs. 114-4730; SC Child Support Guidelines",https://dss.sc.gov/media/tarlq4ar/2024-child-support-guidelines-booklet-final.pdf
South Dakota,SD,overnights,180,overnights_per_year,cross_credit,"Shared parenting when child resides 180+ nights per year in each home; cross-credit based on nights with each parent; court considers whether credit would substantially harm child's standard of living","SDCL 25-7-6.1; SDCL 25-7-6.2",https://dss.sd.gov/childsupport/obligationsdetermined.aspx
Tennessee,TN,overnights,68,overnights_per_year,sliding_scale,"Parenting time adjustment begins at 68 days; day = majority of 24-hour period (12+ hours); graduated standard deviation table; separate calculation for children at 50% with each parent","Tenn. Comp. R. & Regs. 1240-02-04-.04(7); T.C.A. 36-5-101",https://www.tn.gov/content/dam/tn/human-services/documents/CSWSInstructions.pdf
Texas,TX,none,,na,judicial_discretion,"No parenting time formula or automatic adjustment; percentage-of-income model based on obligor net resources; court may consider possession time as deviation factor under 154.123 but no fixed threshold","Tex. Fam. Code 154.123; 154.125",https://statutes.capitol.texas.gov/Docs/FA/htm/FA.154.htm
Utah,UT,overnights,111,overnights_per_year,formula_reduction,"Joint physical custody at 111+ overnights (30.4%); above 110 overnights: multiply excess nights by 0.0027 by combined obligation for additional credit; table-based adjustment","Utah Code 78B-12-208",https://law.justia.com/codes/utah/2023/title-78b/chapter-12/part-2/section-208/
Vermont,VT,percentage,25,percent_of_time,cross_credit,"25-30% parenting time: shared costs table adjustment; 30%+ parenting time: obligation increased by 50% and divided by income proportion and custody time; overnight = physical custody","15 V.S.A. 657",https://legislature.vermont.gov/statutes/section/15/011/00657
Virginia,VA,overnights,90,overnights_per_year,cross_credit,"Shared custody at 90+ days per year; day = 24-hour period; overnight period with <24 hours = half day per parent; shared custody obligation calculated using separate worksheet and offset","Va. Code 20-108.2(G)",https://law.lis.virginia.gov/vacode/title20/chapter6/section20-108.2/
Washington,WA,overnights,90,overnights_per_year,judicial_discretion,"No automatic formula; 90+ overnights commonly referenced as benchmark for requesting deviation; parent must specifically request adjustment; court has discretion to grant based on circumstances","RCW 26.19.075(1)(d)",https://app.leg.wa.gov/rcw/default.aspx?cite=26.19.075
West Virginia,WV,overnights,127,overnights_per_year,cross_credit,"Extended shared parenting at 35%+ (127+ overnights); basic obligation multiplied by 1.6; divided by income share; cross-multiplied by other parent's time percentage; offset calculation","W. Va. Code 48-13-403; 48-1-239",https://code.wvlegislature.gov/48-13-403/
Wisconsin,WI,overnights,92,overnights_per_year,cross_credit,"Shared placement at 25%+ overnights (92/yr); base obligation reduced proportionally to overnight percentages; higher-obligation parent pays difference; percentage-of-income base model","Wis. Stat. 767.511(1j)",https://law.justia.com/codes/wisconsin/chapter-767/section-767-511/
Wyoming,WY,percentage,25,percent_of_time,cross_credit,"Shared responsibility when each parent has 25%+ overnights (~92 nights); obligation multiplied by 150%; divided by income proportion; cross-multiplied by other parent's time; offset paid","W.S. 20-2-304(b)",https://law.justia.com/codes/wyoming/title-20/chapter-2/article-3/section-20-2-304/
